year, fantasy, science_fiction, poetry, childrens_literature, scary, non_fiction, romance, history, young_adult 
1918, 0.0, 0.08333333333333333, 0.16666666666666666, 0.08333333333333333, 0.0, 0.08333333333333333, 0.0, 0.08333333333333333, 0.0 
1963, 0.031746031746031744, 0.047619047619047616, 0.015873015873015872, 0.015873015873015872, 0.09523809523809523, 0.047619047619047616, 0.047619047619047616, 0.0, 0.031746031746031744 
1970, 0.04054054054054054, 0.06756756756756757, 0.06756756756756757, 0.04054054054054054, 0.05405405405405406, 0.04054054054054054, 0.02702702702702703, 0.013513513513513514, 0.04054054054054054 
1935, 0.029411764705882353, 0.058823529411764705, 0.058823529411764705, 0.029411764705882353, 0.029411764705882353, 0.0, 0.029411764705882353, 0.029411764705882353, 0.029411764705882353 
1950, 0.043478260869565216, 0.014492753623188406, 0.10144927536231885, 0.0, 0.07246376811594203, 0.028985507246376812, 0.057971014492753624, 0.028985507246376812, 0.043478260869565216 
1948, 0.0547945205479452, 0.0958904109589041, 0.0821917808219178, 0.0136986301369863, 0.0684931506849315, 0.0410958904109589, 0.0958904109589041, 0.0, 0.0136986301369863 
1960, 0.06666666666666667, 0.044444444444444446, 0.022222222222222223, 0.0, 0.044444444444444446, 0.13333333333333333, 0.044444444444444446, 0.022222222222222223, 0.0 
1988, 0.024390243902439025, 0.0, 0.024390243902439025, 0.0, 0.024390243902439025, 0.0, 0.0, 0.0, 0.04878048780487805 
1968, 0.1375, 0.125, 0.05, 0.0125, 0.05, 0.05, 0.0125, 0.0, 0.0 
1951, 0.10294117647058823, 0.058823529411764705, 0.04411764705882353, 0.014705882352941176, 0.04411764705882353, 0.058823529411764705, 0.10294117647058823, 0.0, 0.0 
1985, 0.0, 0.0, 0.0, 0.019230769230769232, 0.019230769230769232, 0.0, 0.0, 0.0, 0.0 
1966, 0.05714285714285714, 0.04285714285714286, 0.05714285714285714, 0.02857142857142857, 0.04285714285714286, 0.014285714285714285, 0.02857142857142857, 0.014285714285714285, 0.0 
1965, 0.08571428571428572, 0.05714285714285714, 0.05714285714285714, 0.014285714285714285, 0.05714285714285714, 0.04285714285714286, 0.04285714285714286, 0.0, 0.014285714285714285 
1967, 0.07792207792207792, 0.012987012987012988, 0.05194805194805195, 0.05194805194805195, 0.03896103896103896, 0.06493506493506493, 0.03896103896103896, 0.0, 0.07792207792207792 
1992, 0.0, 0.0, 0.06666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
1978, 0.0821917808219178, 0.0410958904109589, 0.0410958904109589, 0.0136986301369863, 0.0273972602739726, 0.0136986301369863, 0.0273972602739726, 0.0, 0.0410958904109589 
1957, 0.0684931506849315, 0.0821917808219178, 0.0684931506849315, 0.0547945205479452, 0.1095890410958904, 0.0547945205479452, 0.0136986301369863, 0.0, 0.0273972602739726 
1947, 0.0, 0.01639344262295082, 0.09836065573770492, 0.0, 0.04918032786885246, 0.09836065573770492, 0.06557377049180328, 0.01639344262295082, 0.0 
1975, 0.07462686567164178, 0.04477611940298507, 0.029850746268656716, 0.029850746268656716, 0.014925373134328358, 0.014925373134328358, 0.04477611940298507, 0.0, 0.04477611940298507 
1973, 0.0945945945945946, 0.05405405405405406, 0.02702702702702703, 0.02702702702702703, 0.02702702702702703, 0.013513513513513514, 0.02702702702702703, 0.0, 0.05405405405405406 
1959, 0.05, 0.03333333333333333, 0.03333333333333333, 0.08333333333333333, 0.06666666666666667, 0.05, 0.05, 0.0, 0.016666666666666666 
1984, 0.03225806451612903, 0.016129032258064516, 0.016129032258064516, 0.0, 0.016129032258064516, 0.0, 0.0, 0.0, 0.03225806451612903 
1980, 0.03125, 0.0, 0.015625, 0.015625, 0.015625, 0.0, 0.015625, 0.0, 0.015625 
1982, 0.0625, 0.05, 0.025, 0.025, 0.025, 0.025, 0.0, 0.0, 0.0125 
1952, 0.1076923076923077, 0.06153846153846154, 0.046153846153846156, 0.03076923076923077, 0.1076923076923077, 0.0, 0.046153846153846156, 0.0, 0.015384615384615385 
1936, 0.03125, 0.03125, 0.15625, 0.0, 0.09375, 0.0625, 0.0625, 0.0, 0.0 
1956, 0.018518518518518517, 0.07407407407407407, 0.09259259259259259, 0.037037037037037035, 0.05555555555555555, 0.05555555555555555, 0.018518518518518517, 0.0, 0.037037037037037035 
1929, 0.0, 0.05, 0.05, 0.05, 0.0, 0.0, 0.05, 0.0, 0.0 
1979, 0.06451612903225806, 0.03225806451612903, 0.016129032258064516, 0.0, 0.016129032258064516, 0.0, 0.0, 0.0, 0.04838709677419355 
1955, 0.029411764705882353, 0.04411764705882353, 0.04411764705882353, 0.058823529411764705, 0.058823529411764705, 0.029411764705882353, 0.014705882352941176, 0.0, 0.04411764705882353 
1986, 0.0, 0.0, 0.021739130434782608, 0.0, 0.0, 0.0, 0.0, 0.0, 0.043478260869565216 
1972, 0.1, 0.1, 0.05714285714285714, 0.04285714285714286, 0.02857142857142857, 0.0, 0.014285714285714285, 0.0, 0.04285714285714286 
1945, 0.038461538461538464, 0.019230769230769232, 0.057692307692307696, 0.057692307692307696, 0.019230769230769232, 0.09615384615384616, 0.019230769230769232, 0.019230769230769232, 0.019230769230769232 
1961, 0.07142857142857142, 0.07142857142857142, 0.017857142857142856, 0.0, 0.08928571428571429, 0.08928571428571429, 0.03571428571428571, 0.017857142857142856, 0.0 
1934, 0.0, 0.0, 0.045454545454545456, 0.13636363636363635, 0.0, 0.0, 0.0, 0.0, 0.09090909090909091 
1976, 0.06756756756756757, 0.04054054054054054, 0.05405405405405406, 0.0, 0.05405405405405406, 0.013513513513513514, 0.013513513513513514, 0.0, 0.02702702702702703 
1946, 0.08450704225352113, 0.056338028169014086, 0.07042253521126761, 0.04225352112676056, 0.08450704225352113, 0.07042253521126761, 0.04225352112676056, 0.0, 0.07042253521126761 
1937, 0.06060606060606061, 0.030303030303030304, 0.06060606060606061, 0.06060606060606061, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.0, 0.030303030303030304 
1953, 0.013157894736842105, 0.039473684210526314, 0.013157894736842105, 0.013157894736842105, 0.09210526315789473, 0.07894736842105263, 0.07894736842105263, 0.02631578947368421, 0.02631578947368421 
1996, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
1949, 0.05, 0.0375, 0.1125, 0.0125, 0.075, 0.05, 0.0875, 0.0, 0.0 
1938, 0.07894736842105263, 0.05263157894736842, 0.0, 0.0, 0.05263157894736842, 0.02631578947368421, 0.07894736842105263, 0.0, 0.0 
1941, 0.017857142857142856, 0.03571428571428571, 0.05357142857142857, 0.017857142857142856, 0.05357142857142857, 0.07142857142857142, 0.05357142857142857, 0.0, 0.017857142857142856 
1943, 0.057692307692307696, 0.019230769230769232, 0.07692307692307693, 0.057692307692307696, 0.038461538461538464, 0.057692307692307696, 0.057692307692307696, 0.019230769230769232, 0.0 
1964, 0.061224489795918366, 0.061224489795918366, 0.08163265306122448, 0.0, 0.04081632653061224, 0.061224489795918366, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612 
1971, 0.06329113924050633, 0.0759493670886076, 0.0379746835443038, 0.012658227848101266, 0.10126582278481013, 0.06329113924050633, 0.0, 0.012658227848101266, 0.02531645569620253 
1991, 0.05263157894736842, 0.05263157894736842, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
1922, 0.0, 0.047619047619047616, 0.09523809523809523, 0.0, 0.047619047619047616, 0.0, 0.047619047619047616, 0.047619047619047616, 0.0 
1983, 0.044444444444444446, 0.022222222222222223, 0.0, 0.0, 0.022222222222222223, 0.022222222222222223, 0.022222222222222223, 0.0, 0.0 
1927, 0.10714285714285714, 0.10714285714285714, 0.07142857142857142, 0.03571428571428571, 0.07142857142857142, 0.07142857142857142, 0.03571428571428571, 0.03571428571428571, 0.0 
1902, 0.0, 0.09090909090909091, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09090909090909091, 0.0 
1969, 0.05952380952380952, 0.047619047619047616, 0.07142857142857142, 0.023809523809523808, 0.05952380952380952, 0.03571428571428571, 0.011904761904761904, 0.0, 0.011904761904761904 
1990, 0.02857142857142857, 0.02857142857142857, 0.02857142857142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02857142857142857 
1989, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
1962, 0.1111111111111111, 0.047619047619047616, 0.06349206349206349, 0.015873015873015872, 0.1111111111111111, 0.047619047619047616, 0.06349206349206349, 0.0, 0.015873015873015872 
1987, 0.02631578947368421, 0.0, 0.02631578947368421, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02631578947368421 
1939, 0.06, 0.04, 0.08, 0.04, 0.08, 0.04, 0.02, 0.04, 0.02 
1917, 0.0, 0.0, 0.14285714285714285, 0.0, 0.14285714285714285, 0.07142857142857142, 0.0, 0.0, 0.07142857142857142 
1981, 0.03389830508474576, 0.01694915254237288, 0.05084745762711865, 0.0, 0.0, 0.03389830508474576, 0.0, 0.0, 0.05084745762711865 
1974, 0.0945945945945946, 0.04054054054054054, 0.02702702702702703, 0.02702702702702703, 0.02702702702702703, 0.04054054054054054, 0.013513513513513514, 0.0, 0.05405405405405406 
1906, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
1977, 0.10909090909090909, 0.03636363636363636, 0.0, 0.01818181818181818, 0.07272727272727272, 0.0, 0.03636363636363636, 0.0, 0.03636363636363636 
1904, 0.0, 0.2857142857142857, 0.07142857142857142, 0.14285714285714285, 0.0, 0.0, 0.0, 0.14285714285714285, 0.0 
1958, 0.09259259259259259, 0.07407407407407407, 0.0, 0.0, 0.09259259259259259, 0.018518518518518517, 0.09259259259259259, 0.018518518518518517, 0.0 
1926, 0.0, 0.0, 0.07142857142857142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
1942, 0.0196078431372549, 0.0196078431372549, 0.09803921568627451, 0.0392156862745098, 0.0392156862745098, 0.0196078431372549, 0.11764705882352941, 0.0, 0.0196078431372549 
1911, 0.10526315789473684, 0.10526315789473684, 0.2631578947368421, 0.0, 0.05263157894736842, 0.0, 0.05263157894736842, 0.0, 0.0 
1998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
1995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
1923, 0.0, 0.0, 0.14285714285714285, 0.0, 0.0, 0.0, 0.14285714285714285, 0.0, 0.0 
1940, 0.024390243902439025, 0.04878048780487805, 0.14634146341463414, 0.04878048780487805, 0.04878048780487805, 0.024390243902439025, 0.024390243902439025, 0.0, 0.0 
1954, 0.05, 0.03333333333333333, 0.05, 0.05, 0.016666666666666666, 0.05, 0.15, 0.016666666666666666, 0.016666666666666666 
1900, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
1921, 0.0, 0.0, 0.0, 0.0625, 0.0625, 0.0625, 0.0625, 0.0, 0.0 
1944, 0.021739130434782608, 0.0, 0.10869565217391304, 0.0, 0.10869565217391304, 0.043478260869565216, 0.06521739130434782, 0.021739130434782608, 0.0 
1912, 0.125, 0.125, 0.0, 0.0, 0.0, 0.125, 0.0, 0.125, 0.0 
1914, 0.11764705882352941, 0.11764705882352941, 0.11764705882352941, 0.0, 0.11764705882352941, 0.0, 0.0, 0.0, 0.0 
1910, 0.0, 0.23809523809523808, 0.047619047619047616, 0.09523809523809523, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.0, 0.047619047619047616 
1908, 0.125, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0 
1932, 0.0, 0.04, 0.04, 0.0, 0.12, 0.04, 0.04, 0.0, 0.0 
1933, 0.0, 0.038461538461538464, 0.11538461538461539, 0.038461538461538464, 0.0, 0.038461538461538464, 0.0, 0.038461538461538464, 0.0 
1924, 0.0, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0 
1930, 0.09523809523809523, 0.09523809523809523, 0.047619047619047616, 0.0, 0.0, 0.19047619047619047, 0.0, 0.0, 0.0 
1916, 0.0, 0.0, 0.14285714285714285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
1925, 0.0, 0.05555555555555555, 0.0, 0.0, 0.0, 0.05555555555555555, 0.0, 0.05555555555555555, 0.0 
1994, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
1903, 0.125, 0.0, 0.375, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0 
1915, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0 
1931, 0.043478260869565216, 0.08695652173913043, 0.13043478260869565, 0.043478260869565216, 0.0, 0.043478260869565216, 0.0, 0.08695652173913043, 0.043478260869565216 
1907, 0.18181818181818182, 0.2727272727272727, 0.09090909090909091, 0.09090909090909091, 0.0, 0.09090909090909091, 0.0, 0.0, 0.0 
1905, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
1913, 0.1111111111111111, 0.0, 0.1111111111111111, 0.1111111111111111, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0 
1993, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693 
1928, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.0, 0.0, 0.07692307692307693, 0.07692307692307693, 0.0, 0.07692307692307693 
1901, 0.06666666666666667, 0.13333333333333333, 0.06666666666666667, 0.0, 0.13333333333333333, 0.06666666666666667, 0.0, 0.0, 0.06666666666666667 
1919, 0.0, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091, 0.0, 0.18181818181818182, 0.0, 0.0, 0.0 
1909, 0.125, 0.25, 0.0625, 0.0625, 0.0625, 0.0625, 0.0, 0.0, 0.0 
1920, 0.0, 0.1, 0.2, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0 
1999, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
2000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
